,food_name,calories_kcal,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_g,carbohydrates_g,fiber_g,sugar_g,protein_g,vitamin_A_mg,vitamin_C_mg,calcium_mg
470,salsify cooked,92,0.2,0.0,0.0,0.028,20.7,4.2,3.9,3.7,0.0,6.2,63.5
471,radish seeds sprouted,16,1.0,0.3,0.0,0.067,1.4,0.0,0.0,1.4,0.0,11.0,19.4
472,turnips raw,51,0.2,0.074,0.0,0.1,11.8,3.3,7.0,1.6,0.0,0.2,0.057
473,burdock root raw,85,0.2,0.069,0.0,0.008,20.5,3.9,3.4,1.8,0.0,3.5,48.4
474,red cabbage cooked,49,0.2,0.058,0.0,0.047,11.8,4.4,5.6,2.6,0.0,0.4,0.049
475,jute raw,10,0.046,0.0,0.0,0.042,1.6,0.0,0.0,1.3,0.0,0.2,0.0
476,hot chile pepper dried,2,0.054,0.001,0.0,0.041,0.3,0.1,0.2,0.054,0.0,0.2,0.2
477,salsify raw,109,0.3,0.0,0.0,0.093,24.7,4.4,0.0,4.4,0.0,0.4,0.0
478,crookneck squash raw,24,0.3,0.1,0.0,0.047,4.9,1.3,4.5,1.3,0.0,24.5,26.7
479,indian squash cooked,38,0.4,0.0,0.0,0.0,7.6,3.5,4.7,0.7,0.0,0.0,0.0
480,poi,269,0.3,0.063,0.0,0.091,65.4,1.0,0.9,0.9,0.0,0.7,0.022
481,sesbania flower cooked,22,0.007,0.0,0.0,0.3,5.3,0.0,0.0,1.2,0.0,38.5,22.9
482,acorn squash cooked,115,0.3,0.023,0.0,0.5,29.9,9.0,0.0,2.3,0.0,22.1,90.2
483,cauliflower cooked,29,0.6,0.055,0.0,0.094,5.1,2.9,2.6,2.3,0.0,0.2,0.068
484,crookneck squash cooked,34,0.7,0.1,0.0,0.4,6.8,2.0,4.5,1.9,0.0,20.9,39.6
485,laver seaweed,1,0.012,0.066,0.0,0.075,0.1,0.09,0.071,0.2,0.0,1.0,1.8
486,mountain yam cooked,119,0.1,0.014,0.0,0.4,29.0,0.0,0.0,2.5,0.0,0.0,11.6
487,pumpkin flowers raw,5,0.084,0.049,0.0,0.066,1.1,0.0,0.0,0.3,0.0,9.2,12.9
488,mustard greens raw,15,0.2,0.072,0.0,0.004,2.6,1.8,0.7,1.6,0.0,39.2,64.4
489,arrowhead,12,0.084,0.0,0.0,0.082,2.4,0.0,0.0,0.6,0.0,0.1,1.2
490,japanese cabbage,45,0.2,0.092,0.0,0.4,8.5,4.7,2.0,2.4,0.0,1.1,72.0
491,mung bean sprouts cooked,24,0.1,0.05,0.0,0.3,4.5,1.0,3.5,2.5,0.0,14.1,14.9
492,scallop squash cooked,29,0.3,0.034,0.0,0.4,5.9,3.4,2.7,1.9,0.0,19.4,27.0
493,pumpkin leaves cooked,15,0.2,0.092,0.0,0.2,2.4,1.9,0.5,1.9,0.0,0.7,30.5
494,hungarian pepper,8,0.1,0.082,0.0,0.028,1.8,0.3,1.0,0.2,0.0,25.1,3.2
495,sweet potato baked,103,0.2,0.013,0.0,0.07,23.6,3.8,7.4,2.3,0.0,22.3,43.3
496,chinese cabbage pe tsai raw,12,0.2,0.033,0.0,0.049,2.5,0.9,1.1,0.9,0.0,20.5,58.5
497,taro raw,116,0.2,0.099,0.0,0.054,27.5,4.3,0.4,1.6,0.0,4.7,44.7
498,yam bean jicama,49,0.1,0.061,0.0,0.047,11.5,6.4,2.3,0.9,0.0,26.3,15.6
499,olives,10,0.9,0.2,0.0,0.001,0.5,0.1,0.0,0.09,0.0,0.03,7.4
500,mustard greens cooked,36,0.7,0.053,0.0,0.4,6.3,2.8,2.0,3.6,0.0,35.4,165.2
501,pumpkin flowers cooked,20,0.1,0.057,0.0,0.082,4.4,1.2,3.2,1.5,0.0,6.7,49.6
502,tree fern cooked,57,0.096,0.0,0.0,0.3,15.3,5.3,0.0,0.4,0.0,42.6,11.4
503,yellow corn raw,606,7.9,1.1,0.0,0.06,123.3,12.1,1.1,15.6,0.0,0.0,11.6
504,endive,9,0.1,0.022,0.0,0.08,1.7,1.6,0.1,0.6,0.0,3.3,26.0
505,wakame,36,0.5,0.1,0.0,0.7,7.3,0.4,0.5,2.4,0.0,2.4,120.0
506,tahitian taro raw,55,1.2,0.2,0.0,0.003,8.6,0.0,0.0,3.5,0.0,120.0,161.3
507,broccoli raw,31,0.3,0.053,0.0,0.049,6.0,2.4,1.5,2.6,0.0,0.2,0.092
508,sweet green peppers raw,30,0.3,0.053,0.0,0.023,6.9,2.5,3.6,1.3,0.0,119.8,14.9
509,chinese cabbage pak choi cooked,20,0.3,0.014,0.0,0.5,3.0,1.7,1.4,2.7,0.0,44.2,158.1
510,agar,1,0.058,0.087,0.0,0.049,0.3,0.027,0.005,0.053,0.0,0.066,0.075
511,watercress,4,0.006,0.071,0.0,0.038,0.4,0.2,0.099,0.8,0.0,0.085,0.069
512,beet greens cooked,39,0.3,0.025,0.0,0.3,7.9,4.2,0.9,3.7,0.0,35.9,164.2
513,winter squash cooked,76,0.7,0.1,0.0,0.068,18.1,5.7,6.8,1.8,0.0,3.7,45.1
514,new zealand spinach raw,8,0.1,0.077,0.0,0.017,1.4,0.8,0.2,0.8,0.0,16.8,32.5
515,okra,4,0.082,0.001,0.0,0.098,0.9,0.4,0.2,0.2,0.0,2.7,9.8
516,yautia tannier,132,0.5,0.1,0.0,0.031,31.9,2.0,0.0,2.0,0.0,7.0,12.2
517,mustard spinach cooked,29,0.4,0.0,0.0,0.5,5.0,3.6,0.0,3.1,0.0,117.0,284.4
518,rhubarb cooked,278,0.1,0.08,0.0,0.007,74.9,4.8,68.9,0.9,0.0,0.041,0.081
519,beets raw,58,0.2,0.028,0.0,0.1,13.0,3.8,9.2,2.2,0.0,0.026,0.079
520,drumstick pods raw,37,0.2,0.025,0.0,0.077,8.5,3.2,0.0,2.1,0.0,141.0,30.0
521,baby zucchini,2,0.089,0.02,0.0,0.041,0.3,0.1,0.0,0.3,0.0,3.8,2.3
522,onion raw,16,0.048,0.077,0.0,0.065,3.7,0.7,1.7,0.4,0.0,0.098,0.08
523,romanesco cooked,39,0.4,0.028,0.0,0.3,7.7,4.0,0.0,3.7,0.0,88.6,39.0
524,butternut squash raw,90,0.2,0.044,0.0,0.067,23.4,4.0,4.4,2.0,0.0,0.3,0.075
525,amaranth leaves,6,0.075,0.072,0.0,0.071,1.1,0.0,0.0,0.7,0.0,12.1,60.2
526,turnip greens raw,18,0.2,0.009,0.0,0.012,3.9,1.8,0.4,0.8,0.0,33.0,104.5
527,spaghetti squash raw,31,0.6,0.1,0.0,0.081,7.0,1.5,2.8,0.6,0.0,2.1,23.2
528,seaweed dry,52,0.3,0.006,6.6,0.9,9.2,7.3,0.0,3.1,0.0,5.8,59.8
529,yam cooked,158,0.2,0.061,0.0,0.017,37.4,5.3,0.7,2.0,0.0,0.3,0.083
530,corn dried,119,3.0,0.6,0.0,0.029,18.8,5.8,6.0,4.1,0.0,0.0,7.1
531,cucumber,23,0.2,0.068,0.0,0.061,5.4,0.8,2.5,1.0,0.0,4.2,24.0
532,arrowroot,78,0.2,0.094,0.0,0.052,16.1,1.6,0.0,5.1,0.0,2.3,7.2
533,cardoon raw,30,0.2,0.072,0.0,0.3,7.2,2.8,0.0,1.2,0.0,0.2,0.0
534,bamboo shoots cooked,14,0.3,0.007,0.0,0.04,2.3,1.2,0.0,1.8,0.0,0.1,0.0
535,summer squash raw,42,0.5,0.1,0.0,0.051,8.7,2.9,5.7,3.1,0.0,0.6,0.009
536,sweet potato raw,112,0.002,0.036,0.0,0.079,26.2,3.9,5.4,2.0,0.0,0.3,0.048
537,green tomato,42,0.4,0.024,0.0,0.055,9.3,2.0,7.3,2.2,0.0,42.6,23.7
538,beet greens raw,8,0.078,0.026,0.0,0.013,1.6,1.4,0.2,0.8,0.0,11.4,44.5
539,savoy cabbage cooked,41,0.2,0.076,0.0,0.05,9.2,4.8,0.0,3.1,0.0,0.3,0.0
540,witloof chicory,9,0.031,0.076,0.0,0.022,2.1,1.6,0.0,0.5,0.0,1.5,10.1
541,turnips cooked,34,0.1,0.082,0.0,0.017,7.9,3.1,4.7,1.1,0.0,0.1,0.063
542,dried tomatoes,5,0.053,0.032,0.0,0.069,1.1,0.2,0.8,0.3,0.0,0.8,2.2
543,radicchio,15,0.2,0.031,0.0,0.033,2.9,0.6,0.4,0.9,0.0,5.2,12.4
544,mixed vegetables cooked,118,0.3,0.0,0.0,0.089,23.8,8.0,5.7,5.2,0.0,0.1,0.083
545,yellow tomato,32,0.6,0.03,0.0,0.088,6.3,1.5,0.0,2.1,0.0,0.1,0.0
546,cardoon cooked,26,0.1,0.014,0.0,0.2,6.4,2.0,0.0,0.9,0.0,2.0,86.4
547,spinach raw,7,0.1,0.024,0.0,0.036,1.1,0.7,0.1,0.9,0.0,8.4,29.7
548,kale raw,7,0.3,0.057,0.0,0.045,0.9,0.9,0.2,0.6,0.092,19.6,53.3
549,drumstick pods cooked,42,0.2,0.0,0.0,0.3,9.7,5.0,0.0,2.5,0.0,114.5,23.6
550,kohlrabi raw,72,0.3,0.007,0.0,0.063,16.4,9.5,6.9,4.5,0.0,0.4,0.069
551,lentil sprouts,82,0.4,0.067,0.0,0.044,17.0,0.0,0.0,6.9,0.0,12.7,19.3
552,carrots raw,25,0.1,0.046,0.0,0.024,5.8,1.7,2.9,0.6,0.0,0.084,0.028
553,red chili peppers,18,0.2,0.088,0.0,0.03,4.0,0.7,2.4,0.8,0.0,64.7,6.3
554,fennel,73,0.5,0.0,0.0,0.1,17.1,7.3,0.0,2.9,0.0,0.1,0.1
555,sweet corn white,63,0.9,0.1,0.0,0.016,13.9,2.0,2.4,2.4,0.0,0.074,0.084
556,celeriac raw,66,0.5,0.1,0.0,0.2,14.4,2.8,2.5,2.3,0.0,0.3,0.081
557,hubbard squash raw,46,0.6,0.1,0.0,0.094,10.1,4.5,4.6,2.3,0.0,0.2,0.086
558,brussels sprouts cooked,8,0.1,0.099,0.0,0.051,1.5,0.5,0.4,0.5,0.0,13.0,7.6
559,carrots cooked,16,0.092,0.096,0.0,0.025,3.8,1.4,1.6,0.3,0.0,1.7,13.8
560,lambs quarters raw,0,0.067,0.0,0.0,0.033,0.069,0.046,0.0,0.08,0.0,0.0,3.3
561,lotus root cooked,6,0.056,0.029,0.0,0.0,1.4,0.3,0.0,0.1,0.0,2.4,2.3
562,split peas raw,672,2.3,0.3,0.0,0.075,118.9,50.2,15.8,48.4,0.0,3.5,108.4
563,scots kale cooked,36,0.5,0.014,0.0,0.4,7.3,0.0,0.0,2.5,0.0,68.6,171.6
564,corn cooked,99,1.5,0.2,0.0,0.039,21.6,2.5,4.7,3.5,0.0,0.1,0.055
565,radish raw,1,0.026,0.084,0.0,0.033,0.2,0.002,0.066,0.042,0.0,0.096,0.002
566,stinging nettles,37,0.007,0.0,0.0,0.09,6.7,6.1,0.2,2.4,0.0,0.0,428.1
567,baby carrots,5,0.053,0.015,0.0,0.097,1.2,0.4,0.7,0.031,0.0,0.4,4.8
568,sweet yellow peppers,50,0.4,0.012,0.0,0.017,11.8,1.7,0.0,1.9,0.0,341.3,20.5
569,taro leaves raw,12,0.2,0.013,0.0,0.083,1.9,1.0,0.8,1.4,0.0,14.6,30.0
570,corn raw,123,1.9,0.5,0.0,0.083,26.7,2.9,9.0,4.7,0.0,0.1,0.054
571,roselle,28,0.4,0.0,0.0,0.079,6.4,0.0,0.0,0.5,0.0,6.8,122.6
572,drumstick leaves raw,13,0.3,0.0,0.0,0.071,1.7,0.4,0.0,2.0,0.0,10.9,38.9
573,scallop squash raw,23,0.3,0.097,0.0,0.075,5.0,1.6,3.1,1.6,0.0,23.4,24.7
574,chicory roots,65,0.2,0.052,0.0,0.055,15.8,1.4,7.9,1.3,0.0,0.2,0.0
575,brussels sprouts raw,8,0.077,0.072,0.0,0.049,1.7,0.7,0.4,0.6,0.0,16.2,8.0
576,kale cooked,42,1.4,0.2,0.0,0.018,6.3,4.7,1.4,3.5,0.0,0.069,0.5
577,pupusas con frijoles,289,11.4,2.8,0.0,0.4,39.7,7.3,1.6,7.0,0.0,0.0,64.3
578,mustard cabbage,36,0.1,0.016,0.0,0.9,7.2,4.0,1.8,1.4,0.0,0.4,0.1
579,gourd raw,19,0.2,0.07,0.0,0.03,4.1,1.0,1.9,1.1,0.0,0.022,0.047
580,butternut squash cooked,80,0.2,0.013,0.0,0.002,21.0,6.4,3.9,1.8,0.0,30.2,82.0
581,burdock root cooked,146,0.2,0.0,0.0,0.4,35.1,3.0,5.9,3.5,0.0,4.3,81.3
582,cassava,330,0.6,0.2,0.0,0.099,78.4,3.7,3.5,2.8,0.0,0.2,0.011
583,peas carrots cooked,77,0.7,0.1,0.0,0.5,16.2,5.0,7.0,4.9,0.0,13.0,36.8
584,romaine lettuce,8,0.1,0.049,0.0,0.083,1.5,1.0,0.6,0.6,0.0,1.9,15.5
585,yam raw,177,0.3,0.067,0.0,0.017,41.8,6.2,0.8,2.3,0.0,0.4,0.025
586,chowchow pickles,296,2.2,0.4,0.0,1.3,65.3,3.7,58.5,3.7,0.0,14.7,56.4
587,prairie turnips raw,20,0.029,0.0,0.0,0.059,4.5,1.0,0.1,0.3,0.0,0.7,16.5
588,savoy cabbage raw,19,0.017,0.091,0.0,0.007,4.3,2.2,1.6,1.4,0.0,0.1,0.066
589,celery raw,6,0.045,0.005,0.0,0.019,1.2,0.6,0.5,0.3,0.0,0.007,0.086
590,celeriac cooked,42,0.3,0.0,0.0,0.084,9.1,0.0,0.0,1.5,0.0,5.6,40.3
591,mustard spinach raw,33,0.5,0.087,0.0,0.025,5.9,4.2,0.0,3.3,0.0,195.0,315.0
592,zucchini raw,44,0.8,0.2,0.0,0.023,8.1,2.6,6.5,3.1,0.0,0.4,0.033
593,okra cooked,35,0.3,0.032,0.0,0.4,7.2,4.0,3.8,3.0,0.0,26.1,123.2
594,white icicle radish,14,0.1,0.076,0.0,0.049,2.6,1.4,0.0,1.1,0.0,29.0,27.0
595,orange tomato,18,0.2,0.097,0.0,0.001,3.5,1.0,0.0,1.3,0.0,0.071,0.0
596,pumpkin leaves raw,7,0.2,0.053,0.0,0.057,0.9,0.0,0.0,1.2,0.0,4.3,15.2
597,spaghetti squash cooked,42,0.4,0.091,0.0,0.4,10.0,2.2,3.9,1.0,0.0,5.4,32.6
598,white corn cooked,100,1.5,0.2,0.0,0.082,22.4,2.8,8.0,3.4,0.0,0.1,0.017
599,artichoke cooked,64,0.4,0.059,0.0,0.087,14.3,10.3,1.2,3.5,0.0,0.028,0.035
600,avocado,432,39.6,5.7,0.0,0.045,23.0,18.1,1.8,5.4,0.0,0.7,0.078
601,string beans wellsley farms,8,0.0,0.0,1.0,0.0,1.7,0.087,0.3,0.3,0.0,0.0,0.0
602,lambs quarters cooked,58,1.3,0.085,0.0,0.5,9.0,3.8,1.1,5.8,0.0,66.6,464.4
603,peas cooked,134,0.4,0.065,0.0,0.074,25.0,8.8,9.5,8.6,0.0,0.3,0.011
604,beets cooked,22,0.085,0.026,0.0,0.035,5.0,1.0,4.0,0.8,0.0,0.026,0.099
605,shallots dried,3,0.013,0.063,0.0,0.059,0.7,0.1,0.3,0.1,0.0,0.096,0.043
606,green lettuce,23,0.2,0.027,0.0,0.05,4.3,2.0,1.2,2.0,0.0,0.1,0.2
607,kohlrabi cooked,48,0.2,0.041,0.0,0.035,11.0,1.8,4.6,3.0,0.0,0.3,0.008
608,kanpyo dried,139,0.3,0.041,0.0,0.056,35.1,5.3,0.0,4.6,0.0,0.3,0.0
609,prairie turnips boiled,18,0.086,0.0,0.0,0.012,4.2,1.0,0.7,0.2,0.0,0.3,14.4
610,broccoli raab cooked,21,0.4,0.086,0.0,0.077,2.7,2.4,0.5,3.3,0.0,0.2,0.2
611,summer squash cooked,49,1.0,0.2,0.0,0.036,9.9,2.9,6.4,2.7,0.0,0.2,0.028
612,taro cooked,187,0.1,0.012,0.0,0.055,45.7,6.7,0.6,0.7,0.0,0.4,0.073
613,spring onion scallions,6,0.077,0.029,0.0,0.048,1.5,0.5,0.5,0.4,0.0,0.055,0.006
614,hubbard squash cooked,57,0.7,0.1,0.0,0.5,12.3,5.5,5.6,2.8,0.0,0.2,0.029
615,jalapeno pepper,4,0.002,0.06,0.0,0.028,0.9,0.4,0.6,0.1,0.0,0.079,0.011
616,new zealand spinach cooked,22,0.3,0.027,0.0,0.6,3.8,2.5,0.5,2.3,0.0,28.8,86.4
617,sesbania flower raw,1,0.095,0.0,0.0,0.007,0.2,0.0,0.0,0.012,0.0,2.2,0.6
618,spirulina dried,20,0.5,0.2,0.0,0.031,1.7,0.3,0.2,4.0,0.0,0.7,8.4
619,chinese cabbage pe tsai cooked,17,0.2,0.011,0.0,0.3,2.9,2.0,0.0,1.8,0.0,18.8,38.1
620,zucchini cooked,27,0.6,0.1,0.0,0.077,4.8,1.8,3.1,2.1,0.0,23.2,32.4
621,green olives pickled,4,0.4,0.064,0.0,0.1,0.1,0.057,0.051,0.073,0.0,0.012,0.072
622,lotus root raw,85,0.1,0.057,0.0,0.06,19.8,5.6,0.0,3.0,0.0,50.6,51.8
623,grape leaves,13,0.3,0.085,0.0,0.005,2.4,1.5,0.9,0.8,0.0,1.6,50.8
624,dill pickled cucumber,17,0.2,0.08,0.0,1.3,3.7,1.6,1.9,0.9,0.0,1.1,60.1
625,skunk cabbage,11,0.1,0.0,0.0,0.016,1.8,1.2,0.0,1.5,0.0,30.8,43.1
626,banana pepper,9,0.1,0.018,0.0,0.039,1.8,1.1,0.6,0.5,0.0,27.3,4.6
627,oriental radish raw,61,0.3,0.1,0.0,0.014,13.9,5.4,8.5,2.0,0.0,74.4,91.3
628,purslane cooked,21,0.2,0.0,0.0,0.3,4.1,0.0,0.0,1.7,0.0,12.1,89.7
629,rhubarb raw,11,0.1,0.043,0.0,0.058,2.3,0.9,0.6,0.5,0.0,0.042,0.058
630,swamp cabbage,20,0.2,0.0,0.0,0.4,3.6,1.9,0.0,2.0,0.0,15.7,52.9
631,mung bean sprouts raw,6,0.044,0.036,0.0,0.08,1.2,0.4,0.8,0.6,0.0,0.033,0.069
632,onion cooked,7,0.034,0.095,0.0,0.04,1.5,0.2,0.7,0.2,0.0,0.078,0.084
633,swiss chard raw,7,0.042,0.065,0.0,0.089,1.3,0.6,0.4,0.6,0.0,10.8,18.4
634,peas raw,117,0.6,0.1,0.0,0.017,21.0,7.4,8.2,7.9,0.0,58.0,36.3
635,cabbage cooked,35,0.019,0.0,0.0,0.011,8.3,2.9,4.2,1.9,0.0,0.2,0.2
636,taro leaves cooked,35,0.6,0.1,0.0,0.3,5.6,2.9,0.0,3.9,0.0,51.5,124.7
637,leeks cooked,38,0.2,0.086,0.0,0.067,9.4,1.2,2.6,1.0,0.0,5.2,37.2
638,split peas cooked,227,0.8,0.1,0.0,0.5,40.2,16.3,5.7,16.3,0.0,0.8,27.4
639,sweet corn yellow,58,0.4,0.029,0.0,0.05,14.2,1.5,2.6,4.1,0.0,0.068,0.0
640,asparagus raw,2,0.037,0.012,0.0,0.047,0.5,0.3,0.2,0.3,0.0,0.067,0.088
641,collard cooked,63,1.4,0.049,0.0,0.013,10.7,7.6,0.0,5.1,0.0,34.6,267.9
642,swiss chard cooked,35,0.1,0.0,0.0,0.7,7.2,3.7,1.9,3.3,0.0,31.5,101.5
643,nopales cooked,22,0.003,0.064,0.0,0.087,4.9,3.0,1.7,2.0,0.0,7.9,244.4
644,tahitian taro cooked,60,0.9,0.2,0.0,0.4,9.4,0.0,0.0,5.7,0.0,52.1,204.1
645,chinese cabbage pak choi raw,9,0.1,0.013,0.0,0.087,1.5,0.7,0.8,1.1,0.0,31.5,73.5
646,green chili pepper,18,0.097,0.067,0.0,0.023,4.3,0.7,2.3,0.9,0.0,0.1,0.017
647,mountain yam raw,91,0.1,0.015,0.0,0.021,22.2,3.4,0.4,1.8,0.0,3.5,35.4
648,parsnips cooked,114,0.5,0.081,0.0,0.021,27.2,6.4,7.7,2.1,0.0,0.1,0.065
649,tomato stewed,97,3.3,0.6,0.0,0.6,16.1,2.1,0.0,2.4,0.0,0.1,0.0
650,sweet green peppers cooked,19,0.1,0.037,0.0,0.2,4.5,0.9,2.3,0.7,0.0,54.3,6.6
651,white corn raw,143,2.0,0.3,0.0,0.088,31.6,4.5,5.3,5.3,0.0,0.08,0.081
652,rutabaga raw,286,1.2,0.2,0.0,0.061,66.5,17.8,34.4,8.3,0.0,193.0,332.0
653,jalapeno peppers canned,37,1.3,0.1,0.0,2.3,6.4,3.5,2.9,1.3,0.0,13.6,31.3
654,pumpkin canned,83,0.7,0.4,0.0,0.6,19.8,7.1,8.1,2.7,0.0,10.3,63.7
655,peas onions canned,61,0.5,0.064,0.0,0.5,10.3,2.8,0.0,3.9,0.0,3.6,20.4
656,sweet mashed potato canned,258,0.5,0.1,0.0,0.2,59.1,4.3,13.9,5.0,0.0,13.3,76.5
657,hominy canned,119,1.5,0.2,0.0,0.6,23.5,4.1,3.0,2.4,0.0,0.0,16.5
658,tomato puree canned,95,0.5,0.098,0.0,0.002,22.5,4.8,12.1,4.1,0.0,0.3,0.038
659,dried tomatoes canned in oil,6,0.4,0.072,0.0,0.056,0.7,0.2,0.0,0.2,0.0,3.1,1.4
660,mixed vegetables canned,88,0.6,0.1,0.0,0.5,17.5,9.3,0.0,3.5,0.0,0.2,0.0
661,straw mushrooms canned,2,0.09,0.1,0.0,0.049,0.3,0.1,0.0,0.2,0.0,0.099,0.0
662,capers canned,2,0.089,0.021,0.0,0.2,0.4,0.3,0.011,0.2,0.0,0.4,3.4
663,red peppers canned,15,0.058,0.03,0.0,0.9,3.7,0.9,2.4,0.7,0.0,49.6,5.1
664,carrots canned,104,0.6,0.1,0.0,0.2,24.4,8.2,11.2,2.6,0.0,0.5,0.028
665,tomatoes in tomato juice canned,41,0.3,0.08,0.0,0.3,9.6,2.4,5.7,1.9,0.0,22.3,74.4
666,asparagus canned,62,0.7,0.2,0.0,0.1,10.2,4.1,4.1,7.4,0.0,67.8,61.7
667,sweet red peppers canned,25,0.4,0.013,0.0,1.9,5.5,1.7,0.0,1.1,0.0,65.1,57.4
668,onions canned,12,0.084,0.045,0.0,0.2,2.5,0.8,1.4,0.5,0.0,2.7,28.4
669,turnip greens canned,27,0.4,0.1,0.0,0.082,4.0,1.9,0.6,2.0,0.0,22.3,169.9
670,hearts of palm,9,0.2,0.056,0.0,0.1,1.5,0.8,0.0,0.8,0.0,2.6,19.1
671,spinach canned,44,0.9,0.1,0.0,0.7,6.8,3.7,0.0,4.9,0.0,31.6,194.2
672,sweet potato canned,568,1.3,0.3,0.0,0.3,133.5,16.0,98.3,6.3,0.0,67.0,95.7
673,corn canned,49,0.6,0.032,0.0,0.2,11.1,1.4,3.3,1.6,0.0,0.011,0.0
674,peas carrots canned,97,0.7,0.1,0.0,0.7,21.6,8.4,7.2,5.5,0.0,0.2,0.059
675,crookneck squash canned,27,0.1,0.088,0.0,0.006,6.2,2.9,2.5,1.3,0.0,5.7,25.2
676,tomatoes canned,77,0.7,0.062,0.0,0.3,17.6,4.6,10.6,4.0,0.0,22.3,82.3
677,pimento canned,44,0.6,0.004,0.0,0.006,9.8,3.6,5.2,2.1,0.0,163.0,11.5
678,sweet green peppers canned,25,0.4,0.037,0.0,1.9,5.5,1.7,0.0,1.1,0.0,65.1,57.4
679,peas canned,57,0.8,0.1,0.0,0.2,9.5,0.0,0.0,3.5,0.0,0.0,0.0
680,chili peppers canned,29,0.4,0.013,0.0,0.6,6.4,2.4,0.0,1.0,0.0,47.5,50.0
681,green peppers canned,15,0.074,0.096,0.0,0.9,3.7,0.9,2.3,0.7,0.0,49.6,5.1
682,grape leaves canned,20,0.6,0.065,0.0,0.8,3.3,2.8,0.0,1.2,0.0,3.2,81.8
683,sauerkraut canned,27,0.2,0.023,0.0,0.9,6.1,4.1,2.5,1.3,0.0,0.2,0.096
684,beets canned,69,0.2,0.017,0.0,0.02,16.2,3.0,13.2,2.0,0.0,6.9,32.0
685,stewed tomatoes canned,66,0.5,0.078,0.0,0.6,15.8,2.6,9.0,2.3,0.0,0.091,0.039
686,tomato paste canned,215,1.2,0.3,0.0,2.1,49.5,10.7,31.9,11.3,0.0,57.4,94.3
687,bacon ranch salad mcdonalds,389,20.1,5.2,70.2,0.9,19.4,3.2,4.9,28.1,0.0,30.9,146.7
688,caesar salad with grilled chicken mcdonalds,201,5.6,3.0,71.0,0.6,11.3,3.3,4.8,29.1,0.0,31.4,189.4
689,caesar salad mcdonalds,94,4.4,2.5,10.7,0.2,9.1,3.4,4.4,6.8,0.0,30.0,183.2
690,vegetable salad,22,0.054,0.053,0.0,0.025,4.4,0.0,0.0,1.7,0.0,32.0,17.9
691,vegetable salad with chicken,70,1.5,0.4,47.9,0.1,2.5,0.0,0.0,11.6,0.077,11.6,24.7
692,potato salad,358,20.5,3.6,170.0,1.3,27.9,3.3,0.0,6.7,0.048,25.0,47.5
693,taco salad taco bell,906,48.9,15.9,101.3,1.9,80.5,16.0,0.0,35.7,0.0,0.0,506.4
694,iceberg lettuce,8,0.045,0.089,0.0,0.022,1.7,0.7,1.1,0.5,0.0,0.042,0.079
695,cornsalad,12,0.2,0.0,0.0,0.067,2.0,0.0,0.0,1.1,0.0,0.2,0.0
696,potato salad with egg,393,23.5,3.6,42.5,0.8,40.5,3.3,12.4,4.9,0.09,2.0,37.5
697,side salad mcdonalds,17,0.2,0.014,0.0,0.037,3.7,1.4,1.9,0.9,0.0,13.7,20.9
698,caesar salad with crispy chicken mcdonalds,349,16.4,4.3,55.6,0.7,19.2,3.4,4.5,25.7,0.0,30.9,188.5
699,grape apple salad with walnuts,191,8.2,1.1,1.6,0.087,25.6,3.6,20.3,3.5,0.069,7.8,70.1
700,vegetable salad with cheese egg,68,3.9,2.0,65.1,0.044,3.2,0.0,0.0,5.8,0.01,6.5,66.5
701,celtuce,1,0.088,0.0,0.0,0.094,0.3,0.1,0.0,0.071,0.0,1.6,3.1
702,arugula,5,0.1,0.029,0.0,0.018,0.7,0.3,0.4,0.5,0.0,3.0,32.0
703,vegetable salad with shrimp,71,1.7,0.4,119.5,0.3,4.4,0.0,0.0,9.7,0.0,6.1,39.3
704,coleslaw,292,18.9,3.1,7.6,0.4,28.4,3.6,23.3,1.8,0.018,0.2,0.1
705,shiitake mushrooms cooked,10,0.007,0.061,0.0,0.048,2.6,0.4,0.7,0.3,0.0,0.064,0.0
706,shiitake mushrooms raw,6,0.039,0.0,0.0,0.096,1.3,0.5,0.5,0.4,0.0,0.0,0.4
707,crimini mushrooms,1,0.018,0.054,0.0,0.086,0.3,0.064,0.1,0.2,0.0,0.001,0.0
708,mushrooms raw,15,0.2,0.052,0.0,0.053,2.3,0.7,1.4,2.2,0.0,1.5,2.1
709,portabella mushrooms grilled,35,0.7,0.023,0.0,0.047,5.4,2.7,2.7,4.0,0.0,0.1,0.0
710,maitake mushrooms,0,0.017,0.011,0.0,0.059,0.072,0.041,0.043,0.016,0.0,0.08,0.0
711,shiitake mushrooms dried,11,0.061,0.014,0.0,0.086,2.7,0.4,0.046,0.3,0.0,0.1,0.4
712,chanterelle mushrooms,2,0.063,0.0,0.0,0.028,0.4,0.2,0.076,0.033,0.0,0.01,0.0
713,cloud ear fungus dried,80,0.2,0.0,0.0,0.036,20.4,19.6,0.0,2.6,0.0,0.0,44.5
714,mushrooms cooked,44,0.7,0.05,0.0,0.011,8.3,3.4,3.7,3.4,0.0,0.1,0.0
715,pepeao dried,72,0.1,0.0,0.0,0.072,19.4,0.0,0.0,1.2,0.0,0.2,0.0
716,truffles,61,4.1,2.2,6.4,0.034,5.4,0.3,4.6,0.7,0.064,0.019,18.8
