,food_name,calories_kcal,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_g,carbohydrates_g,fiber_g,sugar_g,protein_g,vitamin_A_mg,vitamin_C_mg,calcium_mg
294,barbecue sauce kraft,28,0.053,0.013,0.0,0.2,6.5,0.032,5.2,0.1,0.0,0.031,7.5
295,cranberry sauce sweetened,418,0.4,0.056,0.0,0.076,107.8,2.8,105.0,0.6,0.0,5.5,11.1
296,coleslaw dressing,62,5.3,0.8,4.2,0.1,3.8,0.024,3.2,0.1,0.032,0.0,2.2
297,onion gravy dry,77,0.7,0.4,0.5,1.0,16.2,1.4,0.0,2.2,0.0,1.7,67.2
298,corn syrup light,62,0.09,0.0,0.0,0.065,16.9,0.0,16.9,0.0,0.0,0.0,2.9
299,bacon tomato dressing,49,5.3,0.8,0.6,0.1,0.3,0.04,0.3,0.3,0.064,1.3,0.6
300,pancake syrup,53,0.075,0.025,0.0,0.064,13.9,0.0,8.4,0.0,0.0,0.0,1.0
301,balsamic vinegar,14,0.0,0.0,0.0,0.071,2.7,0.0,2.4,0.041,0.0,0.0,4.3
302,ranch dressing reduced fat,29,1.9,0.2,2.4,0.2,3.2,0.2,0.6,0.2,0.022,0.051,6.0
303,barbecue sauce mcdonalds,46,0.3,0.09,0.0,0.3,10.3,0.4,9.6,0.4,0.0,0.0,3.1
304,vinegar oil dressing,72,8.0,1.5,0.0,0.076,0.4,0.0,0.4,0.0,0.0,0.0,0.0
305,poppyseed dressing,66,5.5,1.0,2.5,0.1,4.0,0.03,3.9,0.2,0.005,0.04,9.7
306,honey mustard dressing,70,6.1,0.8,4.4,0.019,3.5,0.057,2.4,0.1,0.082,0.006,1.8
307,french dressing fat free,21,0.024,0.067,0.0,0.1,5.1,0.4,2.6,0.01,0.0,0.0,0.8
308,vinegar,3,0.0,0.0,0.0,0.024,0.089,0.0,0.063,0.0,0.0,0.0,0.9
309,spray dressing,13,0.9,0.1,0.0,0.012,1.3,0.075,1.1,0.07,0.0,0.055,0.5
310,honey mustard dressing fat free,25,0.2,0.031,0.2,0.2,5.8,0.2,2.7,0.2,0.01,0.3,3.6
311,mushroom gravy,119,6.4,1.0,0.0,1.4,13.0,1.0,0.0,3.0,0.0,0.0,16.7
312,white sauce,368,26.6,7.1,17.5,0.9,22.9,0.5,11.0,9.6,0.3,2.0,295.0
313,marinara pasta sauce,129,3.9,0.4,5.3,1.1,19.9,4.8,14.5,3.7,0.0,5.3,71.3
314,tomato sauce with mushrooms,86,0.3,0.027,0.0,1.1,20.7,3.7,14.1,3.6,0.0,30.4,31.9
315,pork gravy powder,25,0.6,0.3,0.7,0.4,4.3,0.2,1.7,0.6,0.002,0.095,9.3
316,beef gravy,123,5.5,2.7,7.0,1.5,11.2,0.9,0.5,8.7,0.079,0.0,14.0
317,green goddess dressing,64,6.5,0.9,6.0,0.1,1.1,0.094,1.0,0.3,0.052,0.037,5.1
318,salsa con queso,358,23.8,6.2,22.5,2.0,27.9,1.8,4.9,7.9,0.069,1.0,245.0
319,cocktail sauce,19,0.2,0.0,0.0,0.2,4.2,0.3,1.8,0.2,0.002,1.7,3.9
320,worcestershire sauce,13,0.0,0.0,0.0,0.2,3.3,0.0,1.7,0.0,0.036,2.2,18.2
321,barbecue sauce,29,0.1,0.009,0.0,0.2,6.9,0.2,5.7,0.1,0.0,0.1,5.6
322,tomato sauce with onions,103,0.5,0.007,0.0,1.3,24.4,4.4,0.0,3.8,0.0,31.1,41.7
323,brown gravy dry,22,0.6,0.2,0.2,0.3,3.6,0.1,0.0,0.6,0.033,0.048,7.9
324,blue cheese dressing light,14,0.4,0.1,1.6,0.2,2.1,0.0,0.6,0.3,0.081,0.0,10.9
325,spanish tomato sauce,81,0.7,0.007,0.0,1.2,17.7,3.4,0.0,3.5,0.0,21.0,41.5
326,oyster sauce,9,0.066,0.016,0.0,0.5,2.0,0.024,0.0,0.2,0.0,0.036,5.8
327,cheese sauce,30,2.2,1.2,5.7,0.002,0.8,0.071,0.033,1.5,0.003,0.067,46.7
